Image,Name,DMG,SPD,PWR,BDMG 0,BDMG 1,BDMG 2,BDMG 3,HDMG 0,HDMG 1,HDMG 2,HDMG 3
Icon weapon ACE32,ACE32,43,720 m/s,,,,,,,,,
AKM,AKM,47,715 m/s,10,000,47,34.30,29.40,22,115.10,80.60,69,51.80
Icon weapon AUG A3,AUG A3,41,940 m/s,9,000,41,30.10,25.80,19.30,101,70.70,60.60,45.40
Icon weapon AWM,AWM,105,945 m/s,40,000,136.50,95.50,81.80,61.40,262.50,183.70,157.50,118.10
Icon weapon M762,Beryl M762,44,740 m/s,10,000,44,32.90,28.20,21.10,110.40,77.30,66.20,49.70
Icon weapon Blue Zone Grenade,Blue Zone Grenade,,,,,,,,,,,
Icon weapon C4,C4,,,,,,,,,,,
Icon weapon Crossbow,Crossbow,105,160 m/s,8,000,104.70,73.30,62.80,47.10,241,168.70,144.60,108.40
Icon weapon DBS,DBS,26,,,18.1×9,12.6×9,10.8×9,8.1×9,24.1×9,16.9×9,14.5×9,10.8×9
Icon weapon DP 28,DP-28,52,840 m/s,10,000,52,35.60,30.60,22.90,117.30,82.10,70.30,52.70
Icon weapon Deagle,Deagle,62,450 m/s,,62,43.40,37.10,27.90,124,86.80,74.30,55.80
Icon weapon DecoyGrenade,Decoy Grenade,,,,,,,,,,,
Icon weapon Flare gun,Flare Gun,,,,,,,,,,,
Icon weapon Grenade,Frag Grenade,,,,?,?,?,?,,,,
Icon weapon G36C,G36C,41,870 m/s,,41,30.10,25.80,19.30,101,70.70,60.60,45.40
Icon weapon Groza,Groza,47,715 m/s,10,000,47,34.30,29.40,22,115.10,80.60,69,51.80
Icon weapon K2,K2,41,,,,,,,,,,
Icon weapon Kar98k,Karabiner 98 Kurz,79,760 m/s,16,000,102.70,71.80,61.60,46.20,197.50,138.20,118.50,88.80
Icon weapon M16A4,M16A4,43,900 m/s,8,000,43,30.10,25.80,19.30,101,70.70,60.60,45.40
Icon weapon M249,M249,40,915 m/s,10,000,40,31.40,27,20.20,103.40,72.40,62,46.50
